kuchinashinohana,makimuramieko,くちなしの花,牧村三枝子,/home/emperorgesar/Documents/cs3307/group59/project/audio/kuchinashinohana.mp3,/home/emperorgesar/Documents/cs3307/group59/project/lyric/kuchinashinohana.lrc,1
tsugarukaikyoufuyugeshiki,ishikawasayuri,津軽海峡・冬景色,石川さゆり,/home/emperorgesar/Documents/cs3307/group59/project/audio/tsugarukaikyoufuyugeshiki.mp3,/home/emperorgesar/Documents/cs3307/group59/project/lyric/tsugarukaikyoufuyugeshiki.lrc,2
tokinonagarenimiwomakase,denglijun,時の流れに身をまかせ,鄧麗君,/home/emperorgesar/Documents/cs3307/group59/project/audio/tokinonagarenimiwomakase.mp3,/home/emperorgesar/Documents/cs3307/group59/project/lyric/tokinonagarenimiwomakase.lrc,3
tsugunai,denglijun,つぐない,鄧麗君,/home/emperorgesar/Documents/cs3307/group59/project/audio/tsugunai.mp3,/home/emperorgesar/Documents/cs3307/group59/project/lyric/tsugunai.lrc,4
aijin,denglijun,愛人,鄧麗君,/home/emperorgesar/Documents/cs3307/group59/project/audio/aijin.mp3,/home/emperorgesar/Documents/cs3307/group59/project/lyric/aijin.lrc,5
doukeshi,denglijun,道化師,鄧麗君,/home/emperorgesar/Documents/cs3307/group59/project/audio/doukeshi.mp3,/home/emperorgesar/Documents/cs3307/group59/project/lyric/doukeshi.lrc,6
pusanhanhekaere,atsumijirou,釜山港へ帰れ,渥美二郎,/home/emperorgesar/Documents/cs3307/group59/project/audio/pusanhanhekaere.mp3,/home/emperorgesar/Documents/cs3307/group59/project/lyric/pusanhanhekaere.lrc,7
rabusutouriihatotsuzenni,odakazumasa,ラブ・ストーリーは突然に,小田和正,/home/emperorgesar/Documents/cs3307/group59/project/audio/rabusutouriihatotsuzenni.mp3,/home/emperorgesar/Documents/cs3307/group59/project/lyric/rabusutouriihatotsuzenni.lrc,8
